,,Pollster Characteristics (as of Aug. 2014),,,,,,Key Ratings,,,,,Basic Stats,,,,,,Advanced Stats,,,,Bias Analysis,,,
,Pollster,# of Polls,NCPP / AAPOR / Roper,Live Caller With Cellphones,Internet,Banned by 538,,Historical Advanced Plus-Minus,Predictive    Plus-Minus,538 Grade,Mean-Reverted Bias,,Races Called Correctly,Misses Outside MOE,Simple Average Error,Simple Expected Error,Simple Plus-Minus,,Advanced Plus-Minus,Mean-Reverted Advanced Plus Minus,Predictive Plus-Minus,,# of Polls for Bias Analysis,Bias,Mean-Reverted Bias,House Effect
1,Monmouth University,71,yes,yes,no,no,,-1.5,-1.2,A+,D +0.6,,85%,20%,5.5,6.4,-0.9,,-1.5,-1.0,-1.2,,41,D +1.0,D +0.6,R +0.8
2,Field Research Corporation (Field Poll),25,yes,yes,no,no,,-2.5,-1.1,A+,R +1.1,,100%,16%,3.9,5.6,-1.7,,-2.5,-1.2,-1.1,,17,R +3.0,R +1.1,D +0.9
3,Selzer & Company,37,yes,yes,no,no,,-1.6,-1.1,A+,R +0.0,,84%,24%,4.6,5.7,-1.1,,-1.6,-0.9,-1.1,,24,R +0.0,R +0.0,D +1.1
4,Elway Research,18,yes,yes,no,no,,-2.3,-1.0,A+,D +0.5,,89%,6%,4.0,5.9,-1.9,,-2.3,-0.9,-1.0,,16,D +1.4,D +0.5,D +3.8
5,Ciruli Associates,17,yes,yes,no,no,,-2.0,-1.0,A+,R +0.7,,94%,0%,3.6,5.5,-1.9,,-2.0,-0.7,-1.0,,16,R +2.1,R +0.7,R +2.5
6,ABC News/Washington Post,51,yes,yes,no,no,,-1.0,-0.9,A+,D +0.6,,78%,6%,3.0,4.6,-1.5,,-1.0,-0.7,-0.9,,46,D +1.0,D +0.6,D +1.7
7,Grove Insight,29,no,yes,no,no,,-2.5,-0.8,A,D +0.5,,90%,7%,3.1,5.0,-1.8,,-2.5,-1.2,-0.8,,29,D +1.0,D +0.5,D +3.4
8,Marist College,146,yes,yes,no,no,,-0.8,-0.8,A,R +0.7,,88%,19%,5.4,6.1,-0.7,,-0.8,-0.7,-0.8,,85,R +0.9,R +0.7,D +0.4
9,Muhlenberg College,22,yes,yes,no,no,,-1.3,-0.8,A,R +0.5,,91%,9%,3.5,5.2,-1.7,,-1.3,-0.6,-0.8,,21,R +1.2,R +0.5,D +0.0
10,National Journal,12,yes,yes,no,no,,-2.6,-0.8,A,R +0.2,,100%,0%,2.6,5.1,-2.5,,-2.6,-0.7,-0.8,,12,R +0.6,R +0.2,D +0.3
11,Public Policy Institute of California,12,yes,yes,no,no,,-2.0,-0.8,A,R +0.7,,100%,8%,4.1,6.1,-2.0,,-2.0,-0.6,-0.8,,8,R +3.4,R +0.7,R +1.0
12,SurveyUSA,763,yes,no,no,no,,-1.0,-0.8,A,D +0.1,,90%,16%,4.6,5.6,-0.9,,-1.0,-0.9,-0.8,,597,D +0.1,D +0.1,R +0.3
13,University of Cincinnati (Ohio Poll),38,yes,yes,no,no,,-0.9,-0.7,A,R +1.5,,93%,16%,3.7,5.4,-1.7,,-0.9,-0.5,-0.7,,29,R +3.0,R +1.5,R +2.3
14,Siena College,42,yes,yes,no,no,,-0.8,-0.7,A,R +0.3,,85%,17%,5.3,5.5,-0.2,,-0.8,-0.5,-0.7,,38,R +0.5,R +0.3,R +1.7
15,Fairleigh Dickinson University (PublicMind),18,yes,yes,no,no,,-1.3,-0.7,A,D +0.0,,94%,6%,4.1,5.3,-1.2,,-1.3,-0.5,-0.7,,17,D +0.1,D +0.0,D +3.1
16,"Research & Polling, Inc.",26,no,yes,no,no,,-1.7,-0.6,A,R +0.7,,85%,8%,4.1,5.7,-1.5,,-1.7,-0.8,-0.6,,25,R +1.5,R +0.7,R +1.4
17,Fox News/Anderson Robbins Research/Shaw & Company Research,24,yes,yes,no,no,,-0.8,-0.6,A,D +0.4,,65%,42%,6.4,6.5,-0.1,,-0.8,-0.3,-0.6,,9,D +1.9,D +0.4,D +0.6
18,Marquette University,7,yes,yes,no,no,,-3.8,-0.6,A,R +0.1,,100%,0%,2.6,6.2,-3.5,,-3.8,-0.7,-0.6,,4,R +0.5,R +0.1,D +0.1
19,Behavior Research Center (Rocky Mountain),7,yes,yes,no,no,,-2.5,-0.6,A,D +0.1,,71%,0%,3.5,6.5,-3.0,,-2.5,-0.5,-0.6,,5,D +0.6,D +0.1,R +2.1
20,Blum & Weprin Associates,18,no,yes,no,no,,-2.6,-0.6,A,R +1.0,,94%,11%,4.6,5.1,-0.5,,-2.6,-1.0,-0.6,,16,R +3.0,R +1.0,D +1.2
21,NBC News/Wall Street Journal,25,yes,yes,no,no,,-0.6,-0.5,A-,D +0.5,,74%,12%,4.2,5.2,-1.0,,-0.6,-0.3,-0.5,,20,D +1.1,D +0.5,D +0.7
22,University of Connecticut,7,yes,yes,no,no,,-1.6,-0.5,A-,R +0.4,,93%,0%,3.6,5.6,-1.9,,-1.6,-0.3,-0.5,,7,R +1.9,R +0.4,R +2.0
23,Time/Abt SRBI,7,yes,yes,no,no,,-1.5,-0.5,A-,D +0.4,,100%,0%,3.2,5.1,-1.9,,-1.5,-0.3,-0.5,,6,D +2.7,D +0.4,R +0.2
24,Angus Reid Global,29,no,no,yes,no,,-2.0,-0.4,A-,R +1.3,,93%,3%,3.3,4.9,-1.6,,-2.0,-1.0,-0.4,,29,R +2.7,R +1.3,D +0.8
25,Ipsos,49,yes,no,yes,no,,-0.9,-0.4,A-,D +0.1,,78%,8%,4.3,4.8,-0.5,,-0.9,-0.6,-0.4,,43,D +0.2,D +0.1,D +0.9
26,Quinnipiac University,169,yes,yes,no,no,,-0.3,-0.4,A-,R +0.7,,87%,23%,4.7,5.6,-0.9,,-0.3,-0.3,-0.4,,117,R +0.8,R +0.7,D +0.3
27,University of Arkansas,4,yes,yes,no,no,,-5.5,-0.4,A-,D +0.3,,100%,0%,2.4,5.3,-2.8,,-5.5,-0.6,-0.4,,4,D +2.4,D +0.3,R +5.1
28,IBD/TIPP,17,no,yes,no,no,,-1.6,-0.4,A-,R +0.7,,76%,6%,2.3,3.4,-1.1,,-1.6,-0.6,-0.4,,17,R +2.1,R +0.7,R +1.1
29,CBS News/New York Times,55,yes,yes,no,no,,-0.3,-0.4,A-,D +0.6,,75%,16%,4.7,5.3,-0.6,,-0.3,-0.2,-0.4,,45,D +1.1,D +0.6,D +2.0
30,CNN/Opinion Research Corp.,89,yes,yes,no,no,,-0.3,-0.4,A-,R +0.1,,76%,25%,5.5,5.8,-0.3,,-0.3,-0.2,-0.4,,61,R +0.2,R +0.1,D +0.4
31,Los Angeles Times,40,yes,yes,no,no,,-0.2,-0.4,A-,R +0.6,,86%,18%,5.2,6.1,-0.8,,-0.2,-0.1,-0.4,,24,R +1.4,R +0.6,D +0.6
32,MassINC Polling Group,11,no,yes,no,no,,-2.4,-0.3,A-,R +0.2,,100%,9%,3.1,6.6,-3.5,,-2.4,-0.7,-0.3,,7,R +0.9,R +0.2,D +1.8
33,St. Norbert College,12,no,yes,no,no,,-1.8,-0.3,A-,D +0.3,,88%,0%,3.9,6.1,-2.2,,-1.8,-0.5,-0.3,,11,D +0.9,D +0.3,D +2.9
34,EPIC-MRA,43,no,yes,no,no,,-0.8,-0.3,A-,R +0.4,,84%,19%,5.1,5.7,-0.6,,-0.8,-0.4,-0.3,,38,R +0.6,R +0.4,D +0.8
35,Western New England University,11,yes,yes,no,no,,-0.3,-0.3,A-,R +1.2,,86%,27%,5.8,5.7,+0.1,,-0.3,-0.1,-0.3,,10,R +4.6,R +1.2,R +0.4
36,University of North Florida,4,yes,yes,no,no,,-1.0,-0.3,B+,D +0.3,,50%,0%,4.5,6.7,-2.2,,-1.0,-0.1,-0.3,,2,D +5.1,D +0.3,D +2.7
37,University of New Hampshire,93,yes,yes,no,no,,-0.1,-0.3,B+,D +1.7,,88%,17%,5.3,5.8,-0.5,,-0.1,-0.1,-0.3,,77,D +2.3,D +1.7,D +3.1
38,High Point University,2,yes,yes,no,no,,-5.6,-0.3,B+,D +0.0,,100%,0%,0.9,4.2,-3.3,,-5.6,-0.4,-0.3,,2,D +0.1,D +0.0,D +1.8
39,Indiana University,2,yes,yes,no,no,,-4.2,-0.3,B+,D +0.1,,100%,0%,0.9,5.8,-5.0,,-4.2,-0.3,-0.3,,2,D +0.9,D +0.1,D +4.1
40,GfK Group,19,yes,no,yes,no,,-1.1,-0.2,B+,R +0.1,,92%,11%,3.4,4.7,-1.3,,-1.1,-0.4,-0.2,,19,R +0.2,R +0.1,D +0.7
41,Castleton University,3,yes,yes,no,no,,-1.0,-0.2,B+,,,100%,0%,9.9,9.7,+0.3,,-1.0,-0.1,-0.2,,0,,,
42,Lake Research Partners,9,no,yes,no,no,,-2.3,-0.2,B+,D +0.5,,83%,11%,3.8,5.6,-1.8,,-2.3,-0.5,-0.2,,9,D +2.2,D +0.5,D +3.1
43,Princeton Survey Research Associates International,32,yes,yes,no,no,,+0.0,-0.2,B+,D +0.3,,69%,25%,4.6,4.8,-0.2,,+0.0,+0.0,-0.2,,31,D +0.5,D +0.3,R +0.2
44,Garin-Hart-Yang Research Group,22,no,yes,no,no,,-0.9,-0.2,B+,D +1.3,,86%,32%,5.3,5.6,-0.3,,-0.9,-0.4,-0.2,,22,D +3.0,D +1.3,D +4.8
45,Franklin & Marshall College,18,yes,yes,no,no,,+0.1,-0.2,B+,R +0.4,,94%,17%,5.7,5.9,-0.1,,+0.1,+0.0,-0.2,,15,R +1.1,R +0.4,D +0.6
46,"RKM Research and Communications, Inc.",26,no,yes,no,no,,-0.8,-0.2,B+,R +0.2,,87%,19%,5.6,6.3,-0.7,,-0.8,-0.4,-0.2,,18,R +0.6,R +0.2,R +1.4
47,University of South Alabama,8,no,yes,no,no,,-3.0,-0.2,B+,R +0.4,,100%,0%,2.8,5.1,-2.3,,-3.0,-0.6,-0.2,,8,R +1.9,R +0.4,R +1.5
48,University of Florida,1,yes,yes,no,no,,-2.2,-0.2,B+,D +0.0,,50%,0%,1.1,4.8,-3.7,,-2.2,-0.1,-0.2,,1,D +1.1,D +0.0,R +0.9
49,"Mason-Dixon Polling & Research, Inc.",415,no,yes,no,no,,-0.4,-0.2,B+,R +1.0,,86%,20%,5.2,5.4,-0.2,,-0.4,-0.4,-0.2,,355,R +1.0,R +1.0,R +1.1
50,Pew Research Center,20,yes,yes,no,no,,+0.1,-0.2,B+,D +0.6,,58%,25%,3.4,4.0,-0.6,,+0.1,+0.1,-0.2,,20,D +1.4,D +0.6,D +0.9
51,"National Research, Inc.",8,no,yes,no,no,,-1.9,-0.2,B+,R +0.5,,81%,13%,5.1,6.4,-1.4,,-1.9,-0.4,-0.2,,6,R +2.7,R +0.5,R +4.6
52,Market Shares Corp.,26,yes,yes,no,no,,+0.2,-0.1,B+,R +1.7,,85%,19%,6.8,5.5,+1.3,,+0.2,+0.1,-0.1,,22,R +4.1,R +1.7,R +2.1
53,Fleming & Associates,15,no,yes,no,no,,-1.0,-0.1,B+,R +0.3,,100%,0%,5.1,5.9,-0.8,,-1.0,-0.3,-0.1,,13,R +1.0,R +0.3,R +0.2
54,Market Research Insight,7,no,yes,no,no,,-4.4,-0.1,B+,D +0.2,,100%,0%,1.8,4.9,-3.1,,-4.4,-0.8,-0.1,,5,D +1.3,D +0.2,D +1.9
55,Montana State University Billings,7,no,yes,no,no,,-3.7,-0.1,B+,D +0.6,,57%,0%,3.6,5.9,-2.2,,-3.7,-0.7,-0.1,,7,D +3.0,D +0.6,D +2.6
56,Riley Research Associates,7,no,yes,no,no,,-2.4,-0.1,B+,R +0.1,,100%,0%,2.7,5.5,-2.8,,-2.4,-0.5,-0.1,,7,R +0.6,R +0.1,R +1.4
57,Vanderbilt University,1,yes,yes,no,no,,+0.5,-0.1,B+,,,100%,100%,8.9,8.1,+0.8,,+0.5,+0.0,-0.1,,0,,,
58,Elon University,4,yes,yes,no,no,,+0.7,-0.1,B+,D +0.4,,50%,0%,4.0,4.2,-0.2,,+0.7,+0.1,-0.1,,4,D +3.2,D +0.4,D +3.7
59,RT Strategies,42,yes,yes,no,no,,+0.3,-0.1,B+,D +1.1,,71%,40%,5.8,5.4,+0.4,,+0.3,+0.2,-0.1,,42,D +1.9,D +1.1,D +3.5
60,Public Policy Polling,383,no,no,no,no,,-0.5,-0.1,B+,R +0.2,,82%,27%,4.9,5.3,-0.4,,-0.5,-0.5,-0.1,,263,R +0.2,R +0.2,D +0.9
61,Greenberg Quinlan Rosner/American Viewpoint,5,no,yes,no,no,,-2.8,-0.0,B+,R +0.6,,100%,40%,4.4,5.6,-1.1,,-2.8,-0.4,-0.0,,4,R +4.8,R +0.6,D +1.8
62,Ward Research (Honolulu Star-Advertiser),14,no,yes,no,no,,-0.7,-0.0,B+,R +0.6,,75%,29%,6.0,5.9,+0.1,,-0.7,-0.2,-0.0,,14,R +1.7,R +0.6,D +1.6
63,"Harstad Strategic Research, Inc.",9,no,yes,no,no,,-1.0,-0.0,B+,D +0.8,,72%,11%,3.8,5.8,-2.0,,-1.0,-0.2,-0.0,,9,D +3.4,D +0.8,D +3.1
64,Temple University,6,yes,no,no,no,,-1.5,-0.0,B+,R +0.4,,100%,17%,3.7,5.1,-1.4,,-1.5,-0.3,-0.0,,5,R +2.5,R +0.4,D +0.7
65,Suffolk University,67,no,yes,no,no,,-0.2,-0.0,B+,D +0.7,,82%,19%,5.2,6.5,-1.2,,-0.2,-0.2,-0.0,,36,D +1.3,D +0.7,D +2.6
66,Pan Atlantic SMS Group,17,no,yes,no,no,,-0.5,+0.0,B+,D +0.9,,91%,24%,6.8,6.4,+0.4,,-0.5,-0.2,+0.0,,15,D +2.8,D +0.9,D +1.7
67,University of Washington,10,no,yes,no,no,,-0.9,+0.0,B,D +0.2,,100%,0%,4.0,5.0,-1.0,,-0.9,-0.2,+0.0,,10,D +0.9,D +0.2,D +4.1
68,Clemson University,5,no,yes,no,no,,-1.7,+0.0,B,R +0.5,,100%,40%,10.3,7.7,+2.6,,-1.7,-0.2,+0.0,,1,R +16.7,R +0.5,R +9.7
69,American Viewpoint,6,no,yes,no,no,,-1.4,+0.0,B,R +0.6,,67%,0%,4.0,5.6,-1.7,,-1.4,-0.2,+0.0,,6,R +3.8,R +0.6,R +4.0
70,Strategies 360,4,no,yes,no,no,,-3.2,+0.0,B,R +0.1,,63%,0%,2.0,5.2,-3.2,,-3.2,-0.4,+0.0,,4,R +0.6,R +0.1,D +1.0
71,"Davis, Hibbitts & Midghall, Inc.",12,no,yes,no,no,,-0.6,+0.0,B,R +0.0,,83%,8%,4.3,5.3,-1.0,,-0.6,-0.2,+0.0,,10,R +0.2,R +0.0,D +0.8
72,Pharos Research Group,31,no,yes,no,yes,,-0.2,+0.1,F,D +0.9,,92%,16%,4.0,4.8,-0.8,,-0.2,-0.1,+0.1,,31,D +1.7,D +0.9,D +0.9
73,Google Consumer Surveys,12,no,no,yes,no,,-1.9,+0.1,B,R +0.6,,83%,17%,2.2,2.8,-0.5,,-1.9,-0.6,+0.1,,12,R +2.2,R +0.6,D +1.5
74,University of Massachusetts Amherst,11,no,yes,no,no,,-0.5,+0.1,B,R +0.4,,100%,9%,6.5,7.8,-1.2,,-0.5,-0.1,+0.1,,2,R +7.2,R +0.4,R +1.8
75,Philadelphia Inquirer,4,no,yes,no,no,,-1.5,+0.1,B,R +0.3,,100%,0%,3.0,4.8,-1.8,,-1.5,-0.2,+0.1,,4,R +2.7,R +0.3,D +0.1
76,"Keating Research, Inc.",3,no,yes,no,no,,-3.0,+0.1,B,R +0.0,,67%,0%,2.2,4.3,-2.1,,-3.0,-0.3,+0.1,,3,R +0.3,R +0.0,D +2.6
77,Missouri State University,3,no,yes,no,no,,-2.4,+0.1,B,D +0.4,,67%,0%,4.4,6.7,-2.3,,-2.4,-0.2,+0.1,,3,D +4.1,D +0.4,D +1.2
78,Mellman Group,21,no,yes,no,no,,-0.2,+0.1,B,D +1.6,,79%,14%,4.9,5.0,-0.1,,-0.2,-0.1,+0.1,,21,D +4.0,D +1.6,D +5.4
79,Cole Hargrave Snodgrass & Associates,4,no,yes,no,no,,-1.3,+0.1,B,D +0.3,,75%,25%,6.3,6.1,+0.2,,-1.3,-0.2,+0.1,,3,D +3.4,D +0.3,R +2.3
80,University of Massachusetts Lowell,14,no,yes,no,no,,-0.2,+0.1,B,R +0.1,,93%,14%,5.3,6.8,-1.5,,-0.2,-0.1,+0.1,,6,R +0.9,R +0.1,D +0.9
81,YouGov,707,no,no,yes,no,,-0.3,+0.1,B,D +1.6,,93%,20%,6.7,6.5,+0.1,,-0.3,-0.3,+0.1,,652,D +1.7,D +1.6,D +0.2
82,Voter/Consumer Research,6,no,yes,no,no,,-0.7,+0.1,B,R +0.2,,100%,50%,5.5,5.7,-0.2,,-0.7,-0.1,+0.1,,5,R +1.5,R +0.2,R +3.9
83,SoonerPoll.com,16,yes,yes,no,no,,+1.0,+0.1,B,D +1.8,,81%,44%,8.5,5.9,+2.6,,+1.0,+0.4,+0.1,,12,D +6.4,D +1.8,D +0.5
84,Richmond Times-Dispatch,4,no,yes,no,no,,-1.1,+0.1,B,D +0.3,,100%,0%,3.3,4.4,-1.1,,-1.1,-0.1,+0.1,,4,D +2.9,D +0.3,D +2.4
85,The Polling Company Inc.,3,no,yes,no,no,,-1.5,+0.1,B,R +0.0,,100%,33%,3.7,5.5,-1.8,,-1.5,-0.1,+0.1,,3,R +0.4,R +0.0,R +5.2
86,Tarrance Group,24,no,yes,no,no,,-0.0,+0.2,B,R +0.7,,83%,21%,6.2,6.4,-0.2,,-0.0,-0.0,+0.2,,20,R +1.7,R +0.7,R +5.5
87,Public Opinion Strategies,53,no,yes,no,no,,-0.0,+0.2,B,R +1.9,,66%,21%,5.9,5.9,+0.0,,-0.0,-0.0,+0.2,,51,R +3.0,R +1.9,R +4.3
88,Market Decisions,4,no,yes,no,no,,-1.0,+0.2,B,R +0.1,,100%,25%,5.2,5.0,+0.2,,-1.0,-0.1,+0.2,,4,R +0.5,R +0.1,D +0.4
89,McKeon & Associates,2,no,yes,no,no,,-6.6,+0.2,B,R +0.0,,100%,0%,0.9,6.4,-5.5,,-6.6,-0.4,+0.2,,1,R +0.9,R +0.0,R +2.0
90,RBI Strategies & Research,2,no,yes,no,no,,-6.6,+0.2,B,R +0.0,,100%,0%,0.7,5.3,-4.6,,-6.6,-0.4,+0.2,,1,R +0.7,R +0.0,D +3.5
91,Frederick Polls,2,no,yes,no,no,,-4.9,+0.2,B,R +0.0,,75%,0%,2.4,6.4,-4.0,,-4.9,-0.3,+0.2,,1,R +0.6,R +0.0,D +3.0
92,APC Research,2,no,yes,no,no,,-3.5,+0.2,B,D +0.2,,100%,0%,2.5,5.3,-2.8,,-3.5,-0.2,+0.2,,2,D +2.5,D +0.2,R +0.6
93,Tulchin Research,2,no,yes,no,no,,-3.2,+0.2,B,R +0.2,,100%,0%,3.5,4.9,-1.4,,-3.2,-0.2,+0.2,,2,R +3.5,R +0.2,D +3.2
94,GBA Strategies,2,no,yes,no,no,,-2.7,+0.2,B,R +0.2,,100%,0%,3.7,6.4,-2.7,,-2.7,-0.2,+0.2,,2,R +3.7,R +0.2,D +4.0
95,Stockton College,5,no,yes,no,no,,-0.6,+0.2,B,D +0.5,,100%,20%,4.5,5.3,-0.8,,-0.6,-0.1,+0.2,,5,D +3.7,D +0.5,D +1.2
96,Knowledge Networks,3,yes,no,yes,no,,-1.1,+0.2,B,R +0.0,,100%,33%,4.1,4.6,-0.5,,-1.1,-0.1,+0.2,,1,R +0.3,R +0.0,R +0.3
97,Kiley & Company,2,no,yes,no,no,,-1.7,+0.2,B,D +0.2,,100%,0%,5.1,5.8,-0.7,,-1.7,-0.1,+0.2,,2,D +3.4,D +0.2,D +7.3
98,New England College,15,no,no,no,no,,-1.3,+0.2,B,R +0.6,,77%,0%,3.0,4.9,-1.8,,-1.3,-0.4,+0.2,,15,R +1.9,R +0.6,R +2.4
99,Moore Information,6,no,yes,no,no,,-0.3,+0.2,B,R +0.5,,67%,17%,6.5,6.1,+0.3,,-0.3,-0.1,+0.2,,6,R +2.8,R +0.5,R +5.1
100,Landmark Communications,24,no,no,no,no,,-0.9,+0.2,B,D +0.5,,88%,29%,4.9,5.6,-0.7,,-0.9,-0.4,+0.2,,18,D +1.4,D +0.5,R +2.8
101,"Market Research Institute, Inc.",9,no,no,no,no,,-2.4,+0.2,B,R +0.3,,100%,11%,2.9,5.2,-2.2,,-2.4,-0.5,+0.2,,9,R +1.4,R +0.3,R +0.8
102,"Glengariff Group, Inc.",7,no,yes,no,no,,-0.2,+0.2,B,R +0.1,,71%,0%,4.7,5.7,-0.9,,-0.2,-0.0,+0.2,,6,R +0.5,R +0.1,D +1.9
103,Wilson Perkins Allen Opinion Research,3,no,yes,no,no,,-0.8,+0.2,B,R +0.3,,67%,33%,6.0,5.5,+0.6,,-0.8,-0.1,+0.2,,3,R +2.9,R +0.3,R +9.6
104,Tel Opinion Research,12,no,yes,no,no,,-0.0,+0.2,B,R +0.0,,96%,17%,4.7,5.5,-0.8,,-0.0,-0.0,+0.2,,10,R +0.1,R +0.0,D +0.1
105,"Strategic Vision, LLC",129,no,no,no,yes,,-0.3,+0.2,F,R +1.9,,88%,16%,4.0,4.9,-0.9,,-0.3,-0.2,+0.2,,106,R +2.4,R +1.9,R +2.3
106,Fox News/Opinion Dynamics Corp.,34,yes,no,no,no,,+0.1,+0.2,B,R +0.5,,72%,9%,3.9,4.8,-0.9,,+0.1,+0.0,+0.2,,28,R +1.0,R +0.5,R +1.6
107,Louisville Courier-Journal,10,no,no,no,no,,-1.7,+0.2,B,R +0.3,,80%,10%,3.3,5.1,-1.8,,-1.7,-0.4,+0.2,,10,R +1.3,R +0.3,R +1.6
108,Vox Populi Communications,11,no,no,no,no,,-1.6,+0.2,B,R +0.0,,77%,9%,4.1,5.5,-1.4,,-1.6,-0.4,+0.2,,9,R +0.2,R +0.0,R +2.7
109,University of Houston,1,no,yes,no,no,,-6.6,+0.2,B,,,100%,0%,2.0,8.5,-6.5,,-6.6,-0.2,+0.2,,0,,,
110,Florida International University/Univision,1,no,yes,no,no,,-5.7,+0.2,B,D +0.1,,100%,0%,1.8,6.5,-4.6,,-5.7,-0.2,+0.2,,1,D +1.8,D +0.1,R +13.0
111,QEV Analytics,1,no,yes,no,no,,-1.9,+0.2,B,,,0%,0%,7.3,6.0,+1.4,,-1.9,-0.1,+0.2,,0,,,
112,Merrill Poll,2,no,yes,no,no,,-0.7,+0.2,B,,,100%,0%,8.7,8.8,-0.1,,-0.7,-0.0,+0.2,,0,,,
113,Hampton University,1,no,yes,no,no,,-1.8,+0.2,B,D +0.1,,100%,0%,3.5,4.9,-1.4,,-1.8,-0.1,+0.2,,1,D +3.5,D +0.1,R +1.9
114,Hill Research Consultants,4,no,yes,no,no,,-0.1,+0.3,B,R +0.4,,50%,25%,5.4,5.3,+0.2,,-0.1,-0.0,+0.3,,4,R +3.2,R +0.4,R +1.0
115,Clarity Campaign Labs,4,no,yes,no,no,,-0.1,+0.3,B,D +0.4,,63%,25%,3.2,4.8,-1.6,,-0.1,-0.0,+0.3,,4,D +3.2,D +0.4,D +4.0
116,University of Wisconsin (Badger Poll),6,yes,no,no,no,,+0.0,+0.3,B,D +0.2,,83%,17%,6.9,5.5,+1.4,,+0.0,+0.0,+0.3,,5,D +1.3,D +0.2,D +1.7
117,Financial Dynamics,15,no,no,no,no,,-1.1,+0.3,B,R +0.7,,100%,0%,2.8,4.7,-2.0,,-1.1,-0.4,+0.3,,15,R +2.0,R +0.7,R +2.1
118,George Washington University (Battleground),32,no,yes,no,no,,+0.2,+0.3,B,R +1.0,,56%,19%,3.5,4.3,-0.8,,+0.2,+0.1,+0.3,,32,R +1.9,R +1.0,R +2.0
