,,Pollster Characteristics (as of Aug. 2014),,,,,,Key Ratings,,,,,Basic Stats,,,,,,Advanced Stats,,,,Bias Analysis,,,
245,West Chester University,7,no,no,no,no,,+0.2,+0.7,C+,D +0.2,,100%,14%,5.2,5.1,+0.1,,+0.2,+0.0,+0.7,,7,D +1.0,D +0.2,D +2.3
246,Ohio State University,1,no,no,no,no,,-0.7,+0.7,C+,R +0.1,,100%,0%,3.7,4.6,-1.0,,-0.7,-0.0,+0.7,,1,R +3.7,R +0.1,R +7.3
247,Gordon S. Black Corp.,2,no,no,no,no,,-0.1,+0.7,C+,R +0.4,,100%,50%,6.3,5.1,+1.2,,-0.1,-0.0,+0.7,,2,R +6.3,R +0.4,R +1.7
248,Market Trends Pacific,1,no,no,no,no,,-0.5,+0.7,C+,D +0.1,,50%,0%,4.6,5.5,-0.9,,-0.5,-0.0,+0.7,,1,D +4.6,D +0.1,D +2.5
249,Y2 Analytics,1,no,yes,no,no,,+12.6,+0.7,C+,,,100%,100%,28.4,8.0,+20.4,,+12.6,+0.4,+0.7,,0,,,
250,Western Kentucky University,3,no,yes,no,no,,+4.8,+0.7,C+,D +0.8,,67%,100%,13.7,6.3,+7.4,,+4.8,+0.4,+0.7,,2,D +12.7,D +0.8,D +2.6
251,ASA Marketing Group,1,no,no,no,no,,-0.4,+0.7,C+,D +0.2,,100%,0%,5.5,5.2,+0.3,,-0.4,-0.0,+0.7,,1,D +5.5,D +0.2,
252,RABA Research,1,no,no,no,no,,-0.4,+0.7,C+,,,100%,0%,3.8,7.9,-4.1,,-0.4,-0.0,+0.7,,0,,,
253,Rice University,2,no,no,no,no,,+0.1,+0.7,C+,D +0.4,,100%,0%,5.9,5.1,+0.8,,+0.1,+0.0,+0.7,,2,D +5.9,D +0.4,D +0.6
254,St. Cloud State University,9,no,yes,no,no,,+2.2,+0.7,C+,D +0.4,,67%,44%,6.5,5.4,+1.1,,+2.2,+0.5,+0.7,,9,D +1.9,D +0.4,D +1.2
255,"Wiese Research Associates, Inc.",7,no,yes,no,no,,+2.6,+0.7,C+,D +1.3,,100%,57%,8.8,6.0,+2.9,,+2.6,+0.5,+0.7,,7,D +6.9,D +1.3,D +4.4
256,University of Iowa,3,no,yes,no,no,,+5.0,+0.7,C+,R +0.2,,67%,33%,15.9,7.2,+8.7,,+5.0,+0.5,+0.7,,1,R +6.6,R +0.2,R +2.8
257,Saint Leo University,1,no,no,no,no,,+0.2,+0.7,C+,D +0.1,,0%,0%,4.1,5.8,-1.7,,+0.2,+0.0,+0.7,,1,D +4.1,D +0.1,D +2.3
258,Hellenthal & Associates,5,no,yes,no,no,,+3.4,+0.7,C+,D +0.4,,40%,40%,8.2,6.1,+2.0,,+3.4,+0.5,+0.7,,3,D +4.4,D +0.4,D +2.5
259,Hays Research Group,7,no,yes,no,no,,+2.6,+0.7,C+,D +1.1,,71%,29%,7.7,5.2,+2.5,,+2.6,+0.5,+0.7,,3,D +11.9,D +1.1,D +2.7
260,American Research Group,260,no,yes,no,no,,+0.6,+0.7,C+,R +0.1,,75%,34%,7.6,6.9,+0.7,,+0.6,+0.6,+0.7,,76,R +0.2,R +0.1,R +1.7
261,Cromer Group,1,no,no,no,no,,+0.4,+0.7,C+,R +0.1,,100%,0%,3.9,5.5,-1.6,,+0.4,+0.0,+0.7,,1,R +3.9,R +0.1,R +3.8
262,Liberty Opinion Research,1,no,no,no,no,,+0.5,+0.7,C+,,,100%,100%,5.7,7.6,-1.8,,+0.5,+0.0,+0.7,,0,,,
263,Strategic Services,1,no,no,no,no,,+0.5,+0.7,C+,D +0.2,,0%,0%,5.5,5.9,-0.4,,+0.5,+0.0,+0.7,,1,D +5.5,D +0.2,D +2.0
264,Rasmussen Reports/Pulse Opinion Research,657,no,no,no,no,,+0.4,+0.7,C+,R +2.0,,79%,25%,5.3,5.3,-0.0,,+0.4,+0.4,+0.7,,516,R +2.1,R +2.0,R +1.4
265,Rossman Group,1,no,no,no,no,,+0.6,+0.7,C+,D +0.1,,100%,0%,4.2,5.9,-1.7,,+0.6,+0.0,+0.7,,1,D +4.2,D +0.1,D +4.7
266,MarblePort,2,no,no,no,no,,+0.5,+0.8,C+,R +0.2,,100%,0%,5.6,4.4,+1.2,,+0.5,+0.0,+0.8,,1,R +6.2,R +0.2,R +7.2
267,University of South Florida,1,no,no,no,no,,+0.8,+0.8,C+,R +0.1,,100%,0%,3.9,4.9,-1.1,,+0.8,+0.0,+0.8,,1,R +3.9,R +0.1,R +5.1
268,Basswood Research,2,no,no,no,no,,+0.6,+0.8,C+,R +0.4,,100%,50%,10.7,7.7,+3.0,,+0.6,+0.0,+0.8,,1,R +13.1,R +0.4,
269,Zimmerman & Associates/Marketing Intelligence,3,no,no,no,no,,+0.6,+0.8,C+,D +0.3,,100%,0%,4.7,5.4,-0.7,,+0.6,+0.1,+0.8,,3,D +3.2,D +0.3,D +0.6
270,ResearchNow,2,no,no,no,no,,+0.8,+0.8,C+,,,100%,50%,9.4,8.3,+1.1,,+0.8,+0.0,+0.8,,0,,,
271,R.L. Repass & Partners,1,no,no,no,no,,+1.2,+0.8,C+,,,100%,100%,11.2,8.8,+2.4,,+1.2,+0.0,+0.8,,0,,,
272,Harvard University,1,no,no,no,no,,+1.2,+0.8,C+,D +0.2,,0%,0%,6.9,5.7,+1.2,,+1.2,+0.0,+0.8,,1,D +6.9,D +0.2,D +1.5
273,Dan Jones & Associates,34,no,no,no,no,,+0.4,+0.8,C+,D +0.9,,97%,18%,7.9,6.0,+1.9,,+0.4,+0.2,+0.8,,30,D +1.8,D +0.9,R +0.2
274,West Virginia Research Center,2,no,no,no,no,,+0.9,+0.8,C+,D +0.4,,50%,0%,6.5,5.3,+1.2,,+0.9,+0.1,+0.8,,2,D +6.5,D +0.4,D +2.8
275,Global Strategy Group,21,no,yes,no,no,,+1.5,+0.8,C+,D +1.9,,67%,24%,7.1,5.8,+1.3,,+1.5,+0.6,+0.8,,21,D +4.7,D +1.9,D +4.3
276,Becker Institute,3,no,no,no,no,,+0.8,+0.8,C+,D +0.7,,67%,67%,7.6,6.0,+1.6,,+0.8,+0.1,+0.8,,3,D +7.6,D +0.7,D +0.8
277,Hamilton Campaigns,8,no,yes,no,no,,+2.6,+0.8,C+,D +1.5,,56%,38%,7.0,5.6,+1.4,,+2.6,+0.6,+0.8,,8,D +7.0,D +1.5,D +6.5
278,TeleResearch Corporation,1,no,no,no,no,,+2.2,+0.8,C+,,,100%,100%,8.6,7.8,+0.8,,+2.2,+0.1,+0.8,,0,,,
279,Roanoke College,12,yes,yes,no,no,,+3.6,+0.8,C+,D +0.3,,75%,58%,9.0,5.9,+3.1,,+3.6,+1.0,+0.8,,9,D +1.3,D +0.3,D +0.7
280,"Normington, Petts & Associates",10,no,no,no,no,,+0.6,+0.8,C+,D +0.7,,60%,40%,6.4,6.2,+0.3,,+0.6,+0.2,+0.8,,10,D +2.7,D +0.7,D +4.4
281,Research America Inc.,2,no,yes,no,no,,+8.2,+0.8,C+,,,100%,50%,20.7,8.1,+12.6,,+8.2,+0.5,+0.8,,0,,,
282,Opinion Consultants,2,no,no,no,no,,+1.4,+0.8,C+,R +0.4,,100%,50%,6.5,5.1,+1.4,,+1.4,+0.1,+0.8,,2,R +6.5,R +0.4,R +5.4
283,Kimball Political Consulting,4,no,yes,no,no,,+4.7,+0.8,C+,R +1.0,,75%,75%,8.1,4.4,+3.7,,+4.7,+0.5,+0.8,,4,R +8.1,R +1.0,R +4.5
284,CrossTarget,2,no,no,no,no,,+1.6,+0.8,C+,R +0.5,,100%,50%,7.7,4.7,+3.0,,+1.6,+0.1,+0.8,,2,R +7.7,R +0.5,R +13.3
285,Great Lakes Strategies Group,1,no,no,no,no,,+2.8,+0.8,C+,R +0.2,,0%,100%,7.6,5.2,+2.4,,+2.8,+0.1,+0.8,,1,R +7.6,R +0.2,R +10.0
286,"Public Strategies, Inc.",6,no,no,no,no,,+0.8,+0.8,C+,,,100%,33%,7.9,8.1,-0.2,,+0.8,+0.1,+0.8,,0,,,
287,Columbus Dispatch,18,no,no,no,no,,+0.6,+0.8,C+,D +1.1,,97%,44%,4.9,4.6,+0.4,,+0.6,+0.2,+0.8,,15,D +3.4,D +1.1,D +4.1
288,Independent Market Research,2,no,no,no,no,,+1.7,+0.8,C+,D +0.3,,100%,50%,5.7,5.2,+0.5,,+1.7,+0.1,+0.8,,2,D +5.3,D +0.3,D +4.9
289,University of Georgia,1,no,no,no,no,,+3.0,+0.8,C+,R +0.3,,100%,100%,9.8,5.9,+3.9,,+3.0,+0.1,+0.8,,1,R +9.8,R +0.3,R +0.8
290,Lycoming College,3,no,no,no,no,,+1.3,+0.8,C+,D +0.7,,67%,33%,7.3,6.2,+1.1,,+1.3,+0.1,+0.8,,3,D +7.3,D +0.7,D +6.3
291,Star Tribune,13,no,yes,no,no,,+2.1,+0.8,C+,D +1.5,,46%,38%,6.3,4.4,+2.0,,+2.1,+0.6,+0.8,,11,D +5.5,D +1.5,D +3.9
292,Illinois Wesleyan University,3,no,no,no,no,,+1.4,+0.8,C+,R +0.7,,100%,33%,8.2,5.8,+2.4,,+1.4,+0.1,+0.8,,3,R +8.2,R +0.7,R +6.2
293,Ron Lester and Associates,1,no,no,no,no,,+3.3,+0.8,C+,,,100%,100%,18.9,7.9,+11.0,,+3.3,+0.1,+0.8,,0,,,
294,JMC Enterprises,5,no,no,no,no,,+1.0,+0.8,C,R +0.9,,100%,40%,7.8,5.4,+2.5,,+1.0,+0.1,+0.8,,4,R +7.6,R +0.9,R +1.6
295,TMR Research,2,no,no,no,no,,+2.0,+0.8,C,D +0.5,,0%,50%,7.8,5.6,+2.3,,+2.0,+0.1,+0.8,,2,D +7.8,D +0.5,D +6.7
296,Ed Renwick,5,no,no,no,no,,+1.1,+0.8,C,D +0.1,,80%,20%,6.5,5.3,+1.2,,+1.1,+0.2,+0.8,,2,D +1.3,D +0.1,D +6.4
297,A&A Research,1,no,no,no,no,,+3.7,+0.8,C,R +0.3,,0%,100%,10.1,5.9,+4.2,,+3.7,+0.1,+0.8,,1,R +10.1,R +0.3,
298,Southern Opinion Research,1,no,no,no,no,,+3.7,+0.8,C,D +0.3,,100%,100%,9.4,5.5,+3.9,,+3.7,+0.1,+0.8,,1,D +9.4,D +0.3,D +14.0
299,Decision Forecasting,3,no,no,no,no,,+1.6,+0.9,C,R +0.1,,100%,67%,8.1,4.6,+3.5,,+1.6,+0.1,+0.9,,3,R +1.4,R +0.1,D +0.5
300,"California State University, Bakersfield",1,no,no,no,no,,+3.9,+0.9,C,R +0.3,,0%,100%,9.8,6.2,+3.6,,+3.9,+0.1,+0.9,,1,R +9.9,R +0.3,R +14.0
301,New Frontier Strategy,1,no,no,no,no,,+3.9,+0.9,C,,,0%,100%,21.6,7.9,+13.7,,+3.9,+0.1,+0.9,,0,,,
302,Magellan Strategies,13,no,no,no,no,,+0.8,+0.9,C,R +0.6,,92%,46%,7.7,6.1,+1.6,,+0.8,+0.2,+0.9,,7,R +3.1,R +0.6,R +6.3
303,Cherry Communications,2,no,no,no,no,,+2.5,+0.9,C,R +0.1,,75%,50%,9.2,6.7,+2.6,,+2.5,+0.2,+0.9,,1,R +3.9,R +0.1,R +6.3
304,Marketing Research Institute,1,no,no,no,no,,+4.6,+0.9,C,R +0.2,,0%,100%,7.4,5.3,+2.1,,+4.6,+0.1,+0.9,,1,R +7.4,R +0.2,R +7.3
305,Polling Company/Global Strategy Group (Hotline Bullseye),3,no,no,no,no,,+2.0,+0.9,C,R +0.4,,33%,33%,4.6,3.5,+1.0,,+2.0,+0.2,+0.9,,3,R +4.6,R +0.4,R +3.1
306,Glascock Group,1,no,no,no,no,,+4.8,+0.9,C,,,0%,100%,12.1,5.7,+6.4,,+4.8,+0.2,+0.9,,0,,,
307,Target Insyght,1,no,no,no,no,,+4.9,+0.9,C,,,100%,100%,15.4,8.6,+6.8,,+4.9,+0.2,+0.9,,0,,,
308,Glover Park Group,1,no,no,no,no,,+4.9,+0.9,C,R +0.4,,0%,100%,11.4,6.7,+4.7,,+4.9,+0.2,+0.9,,1,R +11.4,R +0.4,R +11.5
309,Inside Michigan Politics,1,no,no,no,no,,+5.0,+0.9,C,,,0%,100%,13.2,8.1,+5.1,,+5.0,+0.2,+0.9,,0,,,
310,Zata3,2,no,no,no,no,,+2.8,+0.9,C,R +0.2,,100%,50%,10.2,6.0,+4.1,,+2.8,+0.2,+0.9,,2,R +4.0,R +0.2,D +0.0
311,Tulsa Surveys,1,no,no,no,no,,+5.2,+0.9,C,R +0.4,,100%,100%,11.9,5.4,+6.5,,+5.2,+0.2,+0.9,,1,R +11.9,R +0.4,
312,Momentum Analysis,3,no,yes,no,no,,+6.8,+0.9,C,D +0.5,,33%,100%,13.7,6.2,+7.5,,+6.8,+0.6,+0.9,,3,D +5.7,D +0.5,D +2.8
313,Ivan Moore Research,5,no,yes,no,no,,+4.5,+0.9,C,D +1.3,,40%,80%,9.4,5.6,+3.9,,+4.5,+0.6,+0.9,,5,D +9.4,D +1.3,D +5.4
314,Arthur J. Finkelstein & Associates,1,no,no,no,no,,+5.5,+0.9,C,R +0.4,,0%,100%,13.7,6.9,+6.8,,+5.5,+0.2,+0.9,,1,R +13.7,R +0.4,
315,GaPundit.com,2,no,no,no,no,,+3.0,+0.9,C,D +0.5,,25%,100%,8.3,5.2,+3.0,,+3.0,+0.2,+0.9,,2,D +8.3,D +0.5,D +3.0
316,"SMS Research & Marketing Services, Inc.",1,no,no,no,no,,+5.7,+0.9,C,R +0.3,,0%,100%,9.8,4.3,+5.5,,+5.7,+0.2,+0.9,,1,R +9.8,R +0.3,R +0.3
317,GCR & Associates,1,no,no,no,no,,+6.1,+0.9,C,,,100%,100%,18.3,8.4,+9.9,,+6.1,+0.2,+0.9,,0,,,
318,Minnesota State University Moorhead,4,no,no,no,no,,+2.0,+0.9,C,D +0.5,,100%,50%,9.3,5.7,+3.5,,+2.0,+0.2,+0.9,,3,D +5.9,D +0.5,
319,PSI,3,no,no,no,no,,+2.5,+0.9,C,R +0.1,,67%,67%,12.5,7.3,+5.1,,+2.5,+0.2,+0.9,,1,R +3.3,R +0.1,R +4.0
320,"MarketAide Services, Inc.",1,no,no,no,no,,+6.9,+1.0,C,D +0.4,,100%,100%,11.2,6.0,+5.2,,+6.9,+0.2,+1.0,,1,D +11.2,D +0.4,D +9.5
321,ccAdvertising,30,no,yes,no,no,,+1.6,+1.0,C,R +2.6,,88%,63%,7.1,5.2,+1.9,,+1.6,+0.8,+1.0,,28,R +5.3,R +2.6,R +3.4
322,Bannon Communications,2,no,no,no,no,,+4.0,+1.0,C,D +0.6,,100%,50%,10.4,6.3,+4.1,,+4.0,+0.3,+1.0,,2,D +10.4,D +0.6,D +8.3
323,Anzalone Liszt Grove Research,11,no,yes,no,no,,+2.8,+1.0,C,D +1.4,,55%,36%,7.6,6.1,+1.6,,+2.8,+0.8,+1.0,,11,D +5.1,D +1.4,D +7.7
324,Anderson Group,1,no,no,no,no,,+7.8,+1.0,C,R +0.4,,0%,100%,10.9,4.4,+6.6,,+7.8,+0.3,+1.0,,1,R +10.9,R +0.4,R +5.0
325,Big Ten,10,no,no,no,no,,+1.4,+1.0,C,D +1.1,,100%,20%,4.8,4.4,+0.4,,+1.4,+0.3,+1.0,,10,D +4.5,D +1.1,D +5.5
326,University of New Orleans,9,no,no,no,no,,+1.5,+1.0,C,D +0.3,,78%,22%,6.7,5.5,+1.2,,+1.5,+0.3,+1.0,,6,D +1.7,D +0.3,D +4.4
327,Abacus Associates,2,no,no,no,no,,+4.9,+1.0,C,R +0.0,,50%,100%,12.1,6.3,+5.8,,+4.9,+0.3,+1.0,,2,R +0.5,R +0.0,D +6.5
328,Maine People's Resource Center,7,no,no,no,no,,+1.9,+1.0,C,D +0.3,,86%,29%,7.5,5.2,+2.4,,+1.9,+0.4,+1.0,,6,D +1.5,D +0.3,R +1.0
329,Datamar,8,no,no,no,no,,+1.7,+1.0,C,R +0.4,,69%,38%,6.3,5.5,+0.8,,+1.7,+0.4,+1.0,,5,R +2.9,R +0.4,R +3.3
330,Schapiro Group,2,no,no,no,no,,+5.0,+1.0,C,,,100%,50%,20.0,8.3,+11.7,,+5.0,+0.3,+1.0,,0,,,
331,Critical Insights,17,no,yes,no,no,,+2.4,+1.0,C,D +0.3,,88%,35%,8.6,6.0,+2.6,,+2.4,+0.9,+1.0,,15,D +0.9,D +0.3,R +1.8
332,Greg Smith and Associates,5,no,no,no,no,,+2.6,+1.1,C,D +1.2,,60%,40%,8.5,5.7,+2.8,,+2.6,+0.4,+1.1,,5,D +8.5,D +1.2,D +3.7
333,TargetPoint,3,no,no,no,no,,+3.9,+1.1,C,,,83%,67%,14.0,8.0,+6.0,,+3.9,+0.4,+1.1,,0,,,
334,Jeffrey Stonecash,1,no,no,no,no,,+10.7,+1.1,C,R +0.6,,0%,100%,17.3,5.4,+12.0,,+10.7,+0.3,+1.1,,1,R +17.3,R +0.6,R +16.5
335,Trafalgar Group,12,no,no,no,no,,+1.6,+1.1,C,,,92%,75%,9.1,7.4,+1.7,,+1.6,+0.5,+1.1,,0,,,
336,We Ask America,52,no,no,no,no,,+0.9,+1.1,C,R +0.9,,83%,44%,7.0,5.7,+1.3,,+0.9,+0.6,+1.1,,33,R +1.8,R +0.9,R +2.4
337,Merriman River Group,21,no,yes,no,no,,+2.3,+1.1,C-,R +2.4,,81%,48%,7.7,5.3,+2.4,,+2.3,+0.9,+1.1,,19,R +6.1,R +2.4,R +2.8
338,Opinion Savvy/InsiderAdvantage,105,no,no,no,no,,+0.9,+1.1,C-,D +0.7,,71%,38%,7.8,7.0,+0.8,,+0.9,+0.7,+1.1,,29,D +1.5,D +0.7,D +0.0
339,Rainmaker Media Group,1,no,no,no,no,,+12.5,+1.1,C-,D +0.4,,100%,100%,12.7,4.7,+8.0,,+12.5,+0.4,+1.1,,1,D +12.7,D +0.4,D +8.6
340,Consumer Logic,4,no,no,no,no,,+3.8,+1.1,C-,D +0.6,,50%,50%,8.8,5.5,+3.3,,+3.8,+0.4,+1.1,,4,D +5.4,D +0.6,D +2.3
341,University of Alabama,2,no,no,no,no,,+7.0,+1.2,C-,R +0.8,,100%,50%,12.0,5.0,+7.1,,+7.0,+0.4,+1.2,,2,R +12.0,R +0.8,R +7.0
342,McLaughlin & Associates,19,no,no,yes,no,,+1.5,+1.2,C-,R +0.5,,84%,21%,5.7,5.3,+0.4,,+1.5,+0.6,+1.2,,19,R +1.2,R +0.5,R +4.0
343,Neighbor,1,no,no,no,no,,+13.7,+1.2,C-,R +0.6,,100%,100%,17.1,5.7,+11.4,,+13.7,+0.4,+1.2,,1,R +17.1,R +0.6,R +14.0
344,Zogby Interactive/JZ Analytics,465,no,no,yes,no,,+0.8,+1.2,C-,R +0.8,,78%,28%,5.6,5.3,+0.4,,+0.8,+0.8,+1.2,,364,R +0.9,R +0.8,D +0.1
345,Southeastern Louisiana University,8,no,no,no,no,,+2.4,+1.2,C-,D +0.0,,88%,38%,6.6,5.1,+1.6,,+2.4,+0.5,+1.2,,5,D +0.3,D +0.0,R +1.3
346,Harris Interactive,135,yes,no,yes,no,,+1.2,+1.2,C-,R +1.5,,86%,53%,5.5,3.5,+2.0,,+1.2,+1.0,+1.2,,135,R +1.9,R +1.5,D +1.0
347,Ohio University,2,no,no,no,no,,+7.7,+1.2,C-,D +0.5,,50%,50%,8.8,4.8,+4.0,,+7.7,+0.5,+1.2,,2,D +8.8,D +0.5,D +8.1
348,20/20 Insight,5,no,no,no,no,,+3.6,+1.2,C-,D +0.0,,40%,60%,16.6,7.1,+9.6,,+3.6,+0.5,+1.2,,2,D +0.2,D +0.0,D +2.0
349,Indiana University-Purdue University Fort Wayne,3,no,yes,no,no,,+10.3,+1.2,C-,,,0%,100%,23.5,8.5,+15.0,,+10.3,+0.9,+1.2,,0,,,
350,Opinion Research Associates,12,no,yes,no,no,,+3.7,+1.3,C-,D +1.7,,71%,33%,7.9,5.5,+2.5,,+3.7,+1.1,+1.3,,12,D +6.1,D +1.7,D +5.9
351,Optimus,4,no,no,no,no,,+5.0,+1.3,C-,R +0.8,,50%,100%,13.3,6.3,+7.0,,+5.0,+0.6,+1.3,,2,R +13.3,R +0.8,R +1.8
352,SurveyMonkey,11,no,no,yes,no,,+2.5,+1.3,C-,,,91%,64%,11.2,7.7,+3.5,,+2.5,+0.7,+1.3,,0,,,
353,Loyola University (New Orleans),2,no,no,no,no,,+9.6,+1.3,C-,D +0.8,,100%,50%,12.1,4.9,+7.2,,+9.6,+0.6,+1.3,,2,D +12.1,D +0.8,D +4.8
354,Clout Research/Wenzel Strategies,9,no,yes,no,no,,+4.7,+1.3,C-,R +1.7,,33%,67%,9.0,4.8,+4.2,,+4.7,+1.1,+1.3,,8,R +8.2,R +1.7,R +4.8
355,Data West Polling,3,no,no,no,no,,+7.0,+1.3,C-,D +1.3,,33%,100%,14.6,6.3,+8.3,,+7.0,+0.6,+1.3,,3,D +14.6,D +1.3,D +8.3
356,Baydoun Consulting,6,no,no,no,no,,+4.0,+1.3,C-,R +1.0,,83%,67%,6.8,5.2,+1.7,,+4.0,+0.7,+1.3,,4,R +8.7,R +1.0,R +6.6
357,Fort Hays State University,4,no,yes,no,no,,+9.3,+1.4,C-,,,50%,50%,23.8,9.7,+14.1,,+9.3,+1.1,+1.4,,0,,,
358,Brown University,12,no,yes,no,no,,+4.0,+1.4,C-,R +0.4,,83%,58%,11.4,7.1,+4.3,,+4.0,+1.2,+1.4,,7,R +2.2,R +0.4,R +0.7
359,Nielson Brothers Polling,6,no,no,no,no,,+4.1,+1.4,C-,D +1.4,,83%,50%,8.5,4.7,+3.8,,+4.1,+0.7,+1.4,,6,D +8.5,D +1.4,D +10.0
360,WCIA-TV,2,no,no,no,no,,+10.7,+1.4,C-,R +1.1,,100%,100%,18.3,6.2,+12.1,,+10.7,+0.7,+1.4,,2,R +18.3,R +1.1,R +8.8
361,CPEC LLC,3,no,no,no,no,,+7.7,+1.4,D+,,,100%,100%,16.2,7.8,+8.4,,+7.7,+0.7,+1.4,,0,,,
362,Marketing Workshop,7,no,no,no,no,,+4.0,+1.4,D+,D +0.3,,57%,57%,9.7,5.0,+4.7,,+4.0,+0.8,+1.4,,7,D +1.6,D +0.3,D +0.7
363,Riggs Research Services,1,no,no,no,no,,+24.0,+1.5,D+,D +1.1,,0%,100%,33.7,5.8,+27.9,,+24.0,+0.8,+1.5,,1,D +33.7,D +1.1,D +29.0
364,Dane & Associates,2,no,no,no,no,,+13.1,+1.5,D+,R +1.3,,50%,100%,21.2,5.0,+16.2,,+13.1,+0.8,+1.5,,2,R +21.2,R +1.3,R +10.5
365,Brigham Young University,4,no,no,no,no,,+7.2,+1.5,D+,D +1.9,,75%,75%,16.5,7.7,+8.9,,+7.2,+0.8,+1.5,,4,D +16.5,D +1.9,D +23.9
366,Massie & Associates,2,no,no,no,no,,+14.4,+1.6,D+,R +1.5,,0%,100%,23.9,6.6,+17.3,,+14.4,+0.9,+1.6,,2,R +23.9,R +1.5,
367,Valley Research,6,no,no,no,no,,+5.7,+1.6,D+,D +0.4,,83%,50%,11.5,4.5,+7.0,,+5.7,+1.0,+1.6,,6,D +2.4,D +0.4,D +1.4
368,Millersville University,5,no,no,no,no,,+7.2,+1.7,D,R +1.5,,80%,80%,14.1,5.1,+8.9,,+7.2,+1.0,+1.7,,5,R +10.5,R +1.5,R +6.3
369,Jayhawk Consulting,1,no,no,no,no,,+31.8,+1.8,D,D +1.4,,0%,100%,42.9,6.0,+36.9,,+31.8,+1.0,+1.8,,1,D +42.9,D +1.4,D +37.0
370,Mitchell Research & Communications,47,no,no,no,no,,+2.2,+1.8,D,R +0.1,,70%,36%,8.2,6.2,+2.0,,+2.2,+1.3,+1.8,,25,R +0.2,R +0.1,R +1.6
371,Humphrey Institute,10,no,no,no,no,,+6.8,+2.3,D-,D +0.8,,40%,30%,13.1,5.7,+7.4,,+6.8,+1.7,+2.3,,8,D +3.8,D +0.8,D +3.0
372,TCJ Research,133,no,no,no,yes,,+3.2,+3.0,F,R +4.5,,59%,49%,6.4,4.4,+2.1,,+3.2,+2.6,+3.0,,125,R +5.6,R +4.5,R +3.5
